,account_length,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,customer_service_calls,churn
145,133,36.75,18.89,8.64,0.84,2,0
146,82,23.02,20.15,5.32,4.73,0,0
147,78,27.81,24.09,11.79,2.32,0,0
148,79,36.31,19.97,10.33,2.38,2,0
149,136,27.78,21.19,11.24,2.65,7,0
150,161,32.62,6.03,9.22,3.62,4,1
151,67,30.57,14.72,12.28,2.94,0,0
152,60,45.2,18.34,4.86,3.78,0,1
153,165,28.46,14.68,8.67,2.57,3,0
154,128,38.0,16.05,6.97,2.54,2,1
155,110,34.44,10.1,10.57,2.43,2,0
156,130,25.99,18.12,9.24,2.92,2,0
157,55,32.13,10.07,11.16,4.62,0,0
158,127,24.94,17.3,9.15,3.7,1,0
159,108,23.56,14.65,10.42,2.65,1,0
160,140,33.12,14.53,10.13,3.75,0,0
161,77,24.63,12.86,11.36,3.32,2,0
162,163,34.49,15.18,9.17,3.46,5,0
163,77,42.81,17.48,12.38,2.65,2,1
164,91,22.73,16.6,12.62,1.59,0,0
165,117,36.72,19.05,12.06,3.19,0,0
166,90,18.63,11.7,7.19,2.97,2,0
167,60,35.0,23.58,9.09,2.97,0,1
168,64,35.7,19.78,7.6,1.59,8,0
169,117,40.78,14.86,9.43,2.65,0,0
170,105,24.89,19.13,10.35,2.3,1,0
171,27,12.36,17.73,2.96,2.67,1,0
172,76,44.78,19.58,7.68,3.08,1,1
173,121,30.12,10.5,9.59,2.27,1,0
174,142,40.36,14.95,9.46,2.48,3,0
175,192,26.55,18.32,12.56,2.67,2,0
176,139,22.85,17.96,8.71,2.75,5,1
177,102,21.3,12.0,7.57,1.7,3,0
178,197,39.76,18.61,8.23,2.57,0,0
179,166,21.79,23.33,13.45,2.38,2,0
180,182,11.75,19.58,11.55,1.76,0,0
181,51,30.86,16.74,8.42,2.78,1,0
182,131,36.01,22.14,6.49,2.92,0,0
183,62,14.67,20.29,10.73,3.38,2,0
184,105,38.66,22.82,6.45,3.51,1,0
185,125,28.66,14.93,10.95,2.94,0,0
186,142,31.79,11.44,10.9,2.0,2,0
187,52,36.89,12.95,6.04,3.19,2,0
188,126,9.89,11.79,6.16,3.21,5,1
189,80,19.24,15.77,10.68,2.57,1,0
190,132,32.86,10.91,7.29,3.13,5,1
191,98,36.33,21.51,9.35,2.89,2,0
192,133,37.59,13.62,7.28,2.27,4,0
193,94,29.58,20.49,9.35,2.13,1,0
194,51,28.78,11.86,8.87,3.24,0,0
195,51,40.26,22.39,8.15,3.02,1,0
196,156,29.67,16.78,10.73,2.86,0,0
197,125,30.99,11.88,7.72,3.13,2,0
198,94,39.85,23.74,10.54,0.54,1,1
199,129,27.05,17.21,10.49,3.11,2,0
200,106,34.68,14.32,7.38,3.59,3,1
201,146,26.18,15.77,6.67,2.21,3,0
202,3,27.37,20.82,8.14,2.08,1,0
203,166,29.89,21.56,5.78,3.08,1,0
204,33,42.82,16.54,9.5,2.27,2,0
205,103,25.48,14.53,7.72,3.11,0,1
206,116,27.98,23.0,10.37,2.16,0,0
207,108,19.57,17.96,6.12,3.73,2,1
208,54,42.08,19.16,10.99,2.75,2,1
209,36,30.24,19.09,13.78,2.92,2,0
210,141,44.23,15.23,6.08,1.94,3,0
211,144,18.09,9.19,9.38,2.73,1,0
212,97,36.99,27.24,6.78,1.13,0,0
213,148,40.68,16.63,10.47,2.94,1,0
214,36,5.08,10.97,14.67,2.32,2,0
215,64,33.01,14.74,12.09,1.49,2,0
216,99,23.07,17.71,9.4,2.38,7,1
217,149,37.01,23.25,10.21,2.59,3,0
218,46,6.87,14.65,6.53,2.43,2,0
219,93,23.26,15.26,3.2,3.38,2,0
220,85,37.79,19.68,10.06,2.97,3,0
221,156,32.69,16.99,10.99,4.0,1,0
222,115,28.31,20.08,9.25,4.21,1,0
223,43,39.13,15.87,5.78,2.48,0,0
224,84,27.05,12.73,9.6,3.51,1,0
225,44,24.34,14.43,9.71,2.05,1,0
226,42,15.67,17.95,5.81,3.54,1,0
227,138,22.76,14.14,8.71,4.16,1,0
228,30,23.39,13.77,8.45,1.57,3,0
229,91,25.02,14.89,6.13,3.59,2,0
230,81,26.27,18.38,10.34,3.7,1,0
231,94,27.8,12.21,11.4,3.4,1,0
232,101,40.63,23.21,12.52,3.65,1,1
233,163,33.49,17.22,9.29,2.46,1,0
234,82,24.91,20.94,8.96,1.11,1,0
235,127,26.32,15.06,9.34,2.43,1,0
236,79,8.6,17.12,6.61,1.13,2,0
237,53,28.7,18.73,6.94,2.94,0,0
238,86,12.05,14.17,11.02,3.0,3,0
239,104,30.96,18.16,8.69,3.62,2,0
240,70,35.48,23.42,8.21,2.16,2,0
241,1,35.36,15.73,8.0,2.19,1,0
242,107,42.26,10.14,8.74,3.24,1,0
243,76,32.25,18.09,7.46,2.7,1,0
244,125,50.73,22.99,4.83,3.29,0,1
245,184,40.19,24.42,8.64,3.73,1,1
246,73,41.09,14.32,7.64,3.0,2,0
247,77,25.4,10.53,7.84,2.73,1,0
248,68,14.03,24.64,8.1,1.3,3,0
249,1,31.13,19.77,11.17,2.27,0,0
250,67,35.82,18.63,8.09,1.94,1,0
251,152,35.07,24.89,1.97,2.86,1,0
252,115,28.99,18.46,10.16,3.67,6,0
253,19,26.62,19.06,11.74,3.05,1,0
254,82,26.18,8.02,12.94,2.73,1,0
255,81,37.54,12.62,8.28,2.05,2,0
256,103,31.45,18.98,10.03,3.4,2,0
257,17,33.75,23.0,9.45,2.19,1,0
258,90,30.45,16.2,5.75,2.86,3,0
259,162,37.5,13.19,8.4,2.84,1,0
260,135,34.24,20.95,6.97,3.48,2,1
261,80,25.26,17.92,9.17,2.7,2,0
262,70,24.38,14.45,5.76,2.54,3,0
263,121,33.73,6.4,8.15,1.57,3,1
264,75,27.81,12.47,15.56,3.54,3,0
265,74,31.91,13.89,8.82,2.46,0,0
266,31,16.58,22.13,3.99,1.89,1,0
267,46,32.54,30.75,6.64,1.94,1,0
268,109,34.02,25.58,10.62,3.21,0,0
269,120,42.86,19.22,7.0,3.73,1,0
270,87,33.71,15.9,6.01,4.48,2,0
271,76,28.82,10.54,9.87,2.7,0,0
272,122,39.8,17.02,10.68,3.54,2,0
273,16,29.7,23.87,7.73,2.84,5,0
274,100,30.45,16.71,8.4,2.75,1,0
275,148,31.48,14.48,7.43,2.57,1,0
276,118,43.04,17.09,8.79,2.62,2,0
277,127,43.61,18.88,7.05,3.51,1,0
278,97,28.85,14.1,8.64,3.46,3,0
279,71,31.45,19.76,8.6,4.02,3,0
280,74,27.66,24.82,8.25,2.35,0,0
281,145,29.89,23.32,10.2,3.35,1,0
282,155,32.35,25.61,9.66,2.16,1,0
283,33,36.36,20.38,6.69,2.65,2,0
284,120,42.84,12.77,6.83,2.59,2,0
285,119,50.01,19.76,8.78,2.43,0,1
286,132,31.09,24.85,6.4,3.11,0,0
287,81,25.4,14.61,9.65,4.83,3,1
288,82,26.38,20.78,5.51,2.89,1,0
289,117,31.42,21.13,5.99,2.59,1,0
290,88,22.36,14.86,8.29,2.13,5,1
291,100,37.2,12.61,12.5,2.62,1,0
292,67,21.93,15.98,10.58,3.02,2,0
293,105,40.21,9.95,9.95,2.19,2,0
294,37,22.93,21.11,10.63,3.97,3,0
295,142,23.94,19.43,6.88,2.94,1,0
296,112,30.91,19.39,11.82,2.48,2,0
297,75,20.66,23.07,11.19,3.05,2,0
298,148,30.31,24.02,8.15,3.08,1,0
299,160,14.06,16.54,7.15,2.94,0,0
300,12,42.43,21.45,12.61,3.19,1,1
301,128,41.68,8.63,6.85,2.89,0,0
302,134,1.33,14.57,8.39,3.48,2,0
303,124,32.52,22.23,8.2,2.7,1,0
304,101,26.93,15.98,9.89,3.65,4,1
305,98,46.14,16.18,12.81,3.0,4,1
306,138,24.91,24.18,7.92,3.78,3,0
307,101,15.25,22.11,7.65,3.65,5,1
308,30,36.96,18.17,10.22,1.78,0,0
309,64,58.96,21.21,12.39,3.59,1,1
310,74,50.68,17.11,9.66,2.62,2,1
311,67,29.78,16.93,9.89,3.56,1,0
312,124,30.31,19.98,10.79,2.94,3,0
313,57,14.6,16.48,10.42,2.73,0,0
314,77,24.19,26.04,8.84,2.67,1,0
315,105,18.09,20.41,6.65,1.43,6,1
316,189,26.38,16.62,7.65,4.16,1,0
317,155,31.16,17.43,11.87,1.38,1,0
318,106,25.14,17.79,7.29,2.38,2,0
319,159,31.3,16.53,10.15,4.56,0,0
320,57,26.21,16.72,11.41,2.73,1,0
321,75,38.34,15.47,12.19,2.54,3,0
322,85,21.74,23.05,9.1,3.38,0,0
323,54,48.72,18.97,9.17,3.11,1,1
324,99,40.99,13.23,8.47,3.13,1,0
325,123,43.84,17.99,8.52,2.54,2,0
326,107,28.44,13.93,8.37,1.81,2,0
327,101,20.59,15.84,10.88,2.73,0,0
328,106,28.2,18.4,7.79,3.81,4,0
329,98,12.38,15.84,7.89,2.84,3,0
330,174,23.7,12.19,10.13,2.7,2,0
331,106,35.41,14.4,4.59,4.29,3,0
332,127,30.99,14.44,8.28,2.51,1,0
333,132,37.81,14.06,9.38,3.02,0,0
334,87,26.06,19.08,12.3,2.4,2,0
335,109,29.82,21.31,13.02,2.65,1,0
336,144,10.47,6.55,7.79,2.21,4,1
337,88,26.1,21.39,8.2,2.3,1,0
338,93,32.33,22.29,5.85,2.38,0,0
339,105,32.9,18.72,12.26,2.3,0,0
340,156,21.03,8.76,8.52,3.54,1,0
341,78,39.27,19.58,11.76,2.57,1,0
342,113,27.01,20.64,11.15,1.76,0,0
343,114,14.4,21.24,8.7,3.92,1,0
344,91,41.89,15.47,7.09,3.27,2,1
345,209,26.13,16.03,9.04,2.89,0,0
346,73,16.0,23.83,9.23,2.65,0,0
347,72,28.2,20.05,9.45,3.24,2,0
348,73,30.99,16.93,5.41,4.86,1,0
349,104,25.19,13.75,11.67,2.97,0,0
350,54,40.17,12.99,7.21,3.02,3,0
351,125,38.98,15.08,8.52,3.24,1,0
352,120,26.1,16.49,11.54,2.75,5,0
353,176,34.32,13.15,7.4,2.43,1,0
354,160,28.29,26.95,7.22,2.7,1,0
355,113,36.64,18.59,9.32,1.78,4,0
356,155,12.1,25.87,8.25,2.32,0,0
357,127,34.36,19.5,8.78,3.11,2,0
358,72,20.09,14.21,9.64,3.29,3,0
359,44,34.44,13.86,12.06,2.24,0,0
360,77,34.83,17.09,9.89,3.05,0,0
361,126,31.65,16.12,3.44,2.59,2,0
362,138,26.38,22.81,8.39,2.62,3,0
363,182,47.45,15.34,9.79,2.57,2,1
364,130,29.67,18.49,9.91,3.29,1,0
365,88,27.46,14.75,9.28,2.13,2,0
366,116,32.88,20.45,11.16,3.08,5,0
367,99,9.32,14.71,8.78,2.03,1,0
368,110,46.09,20.15,10.8,2.65,2,1
369,34,25.76,21.14,8.99,2.89,2,0
370,69,46.16,21.54,7.44,2.21,1,1
371,113,25.52,17.01,12.0,2.97,2,0
372,152,36.48,8.21,7.68,2.13,1,0
373,78,22.24,19.01,10.25,2.7,1,0
374,92,26.18,28.03,12.96,1.51,3,1
375,152,24.06,22.36,9.32,0.92,2,0
376,30,42.06,14.95,12.93,3.05,0,0
377,61,7.65,12.86,6.88,2.65,2,0
378,80,27.39,16.9,10.28,2.86,1,0
379,120,32.74,17.54,12.74,2.92,1,0
380,113,31.89,17.7,7.15,2.35,2,0
381,89,31.96,12.86,9.09,2.84,2,0
382,90,37.74,15.9,12.7,3.35,2,0
383,96,30.52,13.8,11.9,1.78,1,0
384,193,16.46,12.12,9.45,2.94,2,1
385,145,39.03,11.74,11.29,0.89,1,0
386,120,22.92,17.35,10.73,1.81,1,0
387,149,11.75,11.59,8.18,1.7,1,0
388,94,37.54,13.28,8.46,2.84,2,0
389,210,53.35,12.55,8.67,2.73,3,0
390,31,28.24,6.74,9.62,3.43,1,0
391,60,24.65,17.77,14.78,3.94,1,0
392,100,13.38,19.18,6.77,3.78,0,0
393,109,28.37,18.8,8.88,3.32,1,1
394,107,37.3,15.34,4.68,2.97,2,0
395,97,31.18,22.87,9.16,1.81,5,0
396,164,27.15,14.35,10.98,2.59,3,0
397,63,47.26,22.64,10.08,3.54,4,1
398,40,13.89,17.87,9.54,3.05,6,1
399,80,25.47,23.49,10.86,2.94,2,0
400,119,22.68,17.39,8.86,3.0,1,0
401,151,33.12,24.88,10.11,1.49,0,0
402,97,24.51,19.27,6.51,3.73,3,0
403,119,40.65,20.7,10.39,2.94,3,1
404,108,33.88,19.06,6.3,4.1,0,0
405,183,19.84,18.17,9.64,2.62,2,0
406,81,24.72,10.99,8.39,1.4,1,0
407,154,32.69,14.05,9.23,2.43,2,0
408,161,12.38,22.7,10.01,3.19,2,0
409,93,25.89,22.74,12.01,3.05,7,0
410,78,25.01,16.97,7.23,3.7,0,0
411,104,47.67,15.25,6.78,4.1,5,0
412,129,16.66,20.46,11.47,2.84,0,0
413,46,36.4,13.97,7.99,2.21,2,0
414,124,43.1,10.02,11.18,3.78,0,0
415,137,16.58,16.64,13.0,0.0,1,0
416,137,22.97,11.4,10.04,3.32,2,1
417,82,51.05,15.39,12.15,3.16,0,1
418,37,45.0,18.4,9.48,2.81,0,0
419,67,23.61,17.76,10.46,2.48,2,0
420,118,45.53,26.89,9.39,3.89,5,1
421,143,35.55,9.02,8.08,3.78,0,0
422,117,17.83,20.2,11.85,2.08,3,0
423,106,38.0,19.98,6.3,2.86,2,0
424,133,24.45,15.64,12.4,3.48,3,0
425,92,22.22,22.15,10.99,2.54,2,1
426,51,44.18,14.98,3.47,4.13,1,0
427,107,39.17,21.88,4.83,2.3,1,0
428,76,18.24,20.25,12.23,2.7,4,1
429,59,22.63,18.8,5.92,1.84,1,0
430,128,31.84,23.02,9.29,2.73,1,0
431,123,51.88,13.3,12.6,3.56,1,0
432,83,20.04,13.63,10.59,3.08,0,0
433,137,29.8,20.51,9.51,2.11,0,0
434,73,29.82,21.09,5.51,3.29,0,0
435,133,43.3,21.44,8.01,2.16,0,1
436,178,21.17,12.0,12.07,3.08,2,1
437,52,33.27,9.03,7.08,1.43,2,0
438,102,26.61,17.37,6.39,2.67,2,0
439,99,24.75,8.36,10.39,2.94,1,0
440,97,20.54,14.43,8.73,3.21,4,1
441,86,38.32,15.9,12.65,3.48,1,0
442,87,24.87,14.6,7.54,1.43,1,0
443,133,50.15,19.01,10.32,3.48,2,1
444,21,15.62,16.86,7.73,3.51,2,0
445,159,32.15,20.92,10.89,2.81,1,1
446,91,28.87,5.54,6.5,2.94,1,0
447,118,19.21,12.76,9.19,2.92,2,0
448,143,18.72,14.37,7.5,2.48,1,0
449,87,44.85,8.79,9.36,2.3,3,0
450,124,43.23,6.71,6.89,3.19,2,0
451,134,41.5,20.99,9.0,1.94,0,0
452,7,37.64,14.09,11.12,2.92,1,0
453,77,11.51,16.63,10.64,3.24,1,0
454,129,28.63,18.45,3.67,3.19,1,0
455,118,27.2,14.91,8.32,2.67,2,0
456,117,22.9,15.3,9.04,2.08,1,0
457,108,47.02,18.71,8.01,2.65,2,0
458,34,30.7,23.83,13.16,1.35,1,0
459,22,30.91,16.88,9.3,2.51,2,0
460,80,32.15,18.97,12.11,3.75,2,1
461,54,24.46,17.88,5.81,3.38,2,0
462,93,22.81,13.81,8.4,3.19,4,1
463,69,23.02,20.24,8.8,2.86,1,0
464,57,32.78,13.43,10.6,3.43,1,0
465,52,22.12,21.01,13.02,3.65,2,0
466,84,32.33,16.8,11.14,2.65,2,0
467,114,52.68,17.03,8.26,3.83,1,0
468,132,38.45,15.44,11.65,2.84,3,1
469,86,43.03,17.86,4.27,3.21,3,0
470,183,18.41,15.61,7.95,3.65,0,0
471,105,46.05,19.23,8.05,2.38,0,1
472,21,41.6,14.28,12.67,1.78,1,0
473,29,53.24,18.39,9.83,3.46,2,1
474,121,28.97,29.79,13.37,3.02,0,1
475,91,37.04,19.56,10.44,2.86,1,0
476,116,15.22,15.37,8.69,3.78,2,0
477,173,39.51,18.01,12.29,1.35,3,0
478,62,31.69,17.09,12.9,3.0,2,1
479,91,34.53,17.86,8.8,3.24,3,0
480,115,23.68,16.35,6.8,2.51,7,1
481,104,47.63,18.74,6.16,3.59,4,0
482,167,22.37,17.96,7.57,3.0,4,1
483,79,40.24,22.4,11.68,3.24,1,0
484,157,32.74,16.62,4.94,1.84,3,0
485,43,30.48,21.48,10.24,2.16,0,0
486,131,23.1,19.82,9.48,2.54,1,0
487,157,46.95,14.09,6.82,0.59,3,0
488,1,30.96,11.47,6.85,2.7,5,1
489,81,29.44,20.08,10.81,3.19,2,0
490,108,40.68,18.99,11.31,2.86,0,0
491,107,37.79,24.31,11.22,3.27,1,1
492,116,32.22,16.13,9.26,3.54,1,0
493,91,25.81,8.81,7.03,3.29,1,0
494,116,34.07,23.19,9.65,2.24,1,0
495,11,22.36,19.57,12.77,2.7,2,0
496,78,32.59,20.52,9.16,2.46,1,0
497,17,26.03,15.8,10.09,2.7,6,1
498,122,43.13,19.48,8.57,2.48,7,0
499,66,43.57,15.32,8.43,1.67,2,0
500,74,26.47,14.76,11.58,2.19,0,0
501,89,30.38,19.86,5.94,2.46,1,0
502,25,41.24,17.77,9.89,3.89,2,0
503,119,37.88,13.87,7.23,3.02,1,0
504,168,27.78,20.41,7.38,3.13,2,1
505,120,25.6,10.12,10.48,1.73,1,0
506,81,44.44,18.33,12.23,2.16,1,1
507,123,24.92,9.76,9.92,0.78,0,0
508,90,28.48,11.82,6.23,3.51,1,0
509,89,29.65,16.72,5.73,3.19,1,0
510,138,3.32,11.98,8.09,2.13,0,0
511,150,32.18,18.78,10.74,2.48,4,0
512,64,35.05,19.75,11.32,3.67,1,0
513,105,26.61,11.92,10.23,3.29,2,0
514,86,23.19,17.21,10.38,3.11,3,0
515,164,40.6,19.55,9.28,3.56,1,0
516,148,42.99,24.17,11.83,3.32,1,0
517,95,44.34,18.14,8.8,2.73,1,0
518,46,15.37,23.48,6.59,3.43,1,0
519,224,18.94,14.88,9.77,1.49,3,0
520,110,33.34,16.97,6.12,3.48,3,0
521,95,26.74,16.79,5.77,2.27,2,0
522,114,21.93,24.65,7.97,3.13,1,0
523,124,32.98,20.49,10.24,3.21,0,0
524,79,45.61,15.77,11.91,1.7,1,1
525,147,26.78,16.12,10.22,3.0,3,1
526,150,35.67,13.18,11.32,1.94,0,0
527,143,26.42,24.73,10.28,3.75,1,0
528,74,42.4,17.81,8.13,2.67,4,0
529,181,32.35,21.17,9.71,2.86,1,0
530,93,20.04,13.98,9.76,2.65,1,0
531,185,9.45,24.54,5.0,3.27,2,0
532,117,37.62,14.25,11.82,1.19,0,0
533,111,39.0,18.2,13.03,2.81,4,0
534,87,28.44,16.87,5.99,2.97,1,0
535,74,30.16,20.43,10.68,3.24,0,0
536,83,32.52,21.31,11.22,4.75,2,0
537,57,40.21,13.86,10.65,3.29,2,0
538,57,37.59,20.12,11.35,2.57,0,0
539,117,25.48,21.77,9.57,3.59,2,0
540,98,2.13,21.81,7.62,2.08,1,0
541,73,29.53,17.34,7.86,1.7,2,0
542,140,19.18,13.32,11.23,4.4,0,0
543,163,30.38,18.33,6.87,2.86,4,0
544,75,22.25,17.29,7.73,3.35,1,0
545,83,46.16,18.39,5.45,3.16,1,0
546,88,51.26,21.9,5.98,3.62,4,1
547,110,16.9,23.38,9.54,4.51,2,0
548,212,21.42,12.27,13.63,2.05,1,0
549,126,54.62,14.27,8.71,2.16,1,1
550,60,31.11,17.57,9.17,3.0,1,0
551,83,35.51,18.26,11.16,3.51,1,0
552,63,31.31,26.57,11.88,3.29,1,0
553,76,31.64,17.99,10.38,2.16,0,0
554,109,35.55,17.43,5.37,2.11,2,0
555,112,13.87,22.79,6.34,2.32,1,0
556,152,54.03,13.0,5.55,2.81,1,1
557,105,46.55,24.62,12.11,1.57,2,1
558,57,27.37,17.68,9.36,2.27,3,0
559,174,37.71,17.9,9.98,3.35,1,0
560,65,33.22,15.4,8.03,2.4,0,0
561,73,31.84,20.37,7.54,4.08,1,0
562,141,14.14,16.2,6.77,2.89,1,0
563,83,16.15,14.27,9.03,3.02,0,0
564,16,24.62,14.02,10.42,2.21,2,0
565,98,41.74,24.88,8.28,2.92,1,0
566,122,23.24,20.66,8.5,2.32,0,0
567,1,21.05,20.08,3.29,1.0,0,0
568,126,47.26,21.52,10.04,2.35,0,0
569,48,32.03,14.1,9.26,3.56,1,0
570,13,32.84,16.52,8.39,2.62,4,0
571,118,22.68,10.29,11.46,1.59,1,0
572,152,40.38,21.54,11.93,3.83,9,1
573,125,22.41,11.62,13.87,2.08,2,0
574,154,11.03,15.65,6.82,3.94,1,0
575,100,30.11,13.91,10.92,2.0,0,0
576,119,30.28,18.09,10.18,2.7,1,0
577,53,34.87,13.64,6.73,2.89,3,0
578,76,29.09,21.86,4.12,4.37,1,0
